lot_number,VAX_MANU,reports,serious_reports,deaths,total_doses_shipped,reports_per_million,serious_per_million,deaths_per_million,source_rows,source_files,source_sheets
EL9267,PFIZER\BIONTECH,1652,558.0,139.0,5883875.0,280.77,94.84,23.62,1519,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL0140,PFIZER\BIONTECH,1972,354.0,137.0,3745488.0,526.5,94.51,36.58,1800,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FE2593,PFIZER\BIONTECH,6,2.0,0.0,21226.0,282.67,94.22,0.0,62,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL3248,PFIZER\BIONTECH,2553,488.0,161.0,5183707.0,492.5,94.14,31.06,1824,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
301588A,PFIZER\BIONTECH,10,1.0,0.0,10755.0,929.8,92.98,0.0,52,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
GJ3275,PFIZER\BIONTECH,470,76.0,12.0,818022.0,574.56,92.91,14.67,1911,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
FE3952,PFIZER\BIONTECH,8,1.0,0.0,10824.0,739.1,92.39,0.0,47,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
330308,PFIZER\BIONTECH,5,1.0,0.0,11016.0,453.89,90.78,0.0,66,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
F63527,PFIZER\BIONTECH,83,7.0,0.0,77304.0,1073.68,90.55,0.0,99,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL3264,PFIZER\BIONTECH,5,1.0,0.0,11291.0,442.83,88.57,0.0,40,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FD7128,PFIZER\BIONTECH,5,1.0,0.0,11677.0,428.19,85.64,0.0,74,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
