year,quarter,VAX_MANU,event,event_reports,total_reports,event_pct
2022,2,PFIZER\BIONTECH,deep_vein_thrombosis,50.0,18299,0.2732
2022,3,JANSSEN,deep_vein_thrombosis,5.0,725,0.6897
2022,3,MODERNA,deep_vein_thrombosis,18.0,12345,0.1458
2022,3,PFIZER\BIONTECH,deep_vein_thrombosis,30.0,14146,0.2121
2022,4,MODERNA,deep_vein_thrombosis,26.0,11549,0.2251
2022,4,PFIZER\BIONTECH,deep_vein_thrombosis,35.0,15348,0.228
2023,1,MODERNA,deep_vein_thrombosis,23.0,7887,0.2916
2023,1,PFIZER\BIONTECH,deep_vein_thrombosis,32.0,11689,0.2738
2023,2,MODERNA,deep_vein_thrombosis,95.0,6078,1.563
2023,2,PFIZER\BIONTECH,deep_vein_thrombosis,183.0,8729,2.0965
2023,3,MODERNA,deep_vein_thrombosis,22.0,5248,0.4192
2023,3,PFIZER\BIONTECH,deep_vein_thrombosis,92.0,4688,1.9625
2023,4,MODERNA,deep_vein_thrombosis,12.0,6310,0.1902
2023,4,PFIZER\BIONTECH,deep_vein_thrombosis,11.0,3394,0.3241
2024,1,MODERNA,deep_vein_thrombosis,5.0,1570,0.3185
2024,1,PFIZER\BIONTECH,deep_vein_thrombosis,12.0,2189,0.5482
2024,2,MODERNA,deep_vein_thrombosis,6.0,1023,0.5865
2024,2,PFIZER\BIONTECH,deep_vein_thrombosis,3.0,1362,0.2203
2024,3,MODERNA,deep_vein_thrombosis,4.0,958,0.4175
2024,3,PFIZER\BIONTECH,deep_vein_thrombosis,0.0,1252,0.0
2024,4,MODERNA,deep_vein_thrombosis,4.0,1816,0.2203
2024,4,PFIZER\BIONTECH,deep_vein_thrombosis,7.0,2033,0.3443
2025,1,MODERNA,deep_vein_thrombosis,3.0,586,0.5119
2025,1,PFIZER\BIONTECH,deep_vein_thrombosis,6.0,690,0.8696
2025,2,MODERNA,deep_vein_thrombosis,2.0,507,0.3945
2025,3,PFIZER\BIONTECH,deep_vein_thrombosis,3.0,534,0.5618
2025,4,MODERNA,deep_vein_thrombosis,2.0,996,0.2008
2025,4,PFIZER\BIONTECH,deep_vein_thrombosis,3.0,1054,0.2846
2020,4,MODERNA,guillain_barre,0.0,2360,0.0
2020,4,PFIZER\BIONTECH,guillain_barre,2.0,5334,0.0375
2021,1,JANSSEN,guillain_barre,3.0,4616,0.065
2021,1,MODERNA,guillain_barre,24.0,82646,0.029
2021,1,PFIZER\BIONTECH,guillain_barre,27.0,55406,0.0487
2021,2,JANSSEN,guillain_barre,55.0,22295,0.2467
2021,2,MODERNA,guillain_barre,54.0,49194,0.1098
2021,2,PFIZER\BIONTECH,guillain_barre,51.0,64319,0.0793
2021,3,JANSSEN,guillain_barre,62.0,7714,0.8037
2021,3,MODERNA,guillain_barre,42.0,59870,0.0702
2021,3,PFIZER\BIONTECH,guillain_barre,79.0,47943,0.1648
2021,4,JANSSEN,guillain_barre,28.0,6317,0.4432
2021,4,MODERNA,guillain_barre,25.0,36323,0.0688
2021,4,PFIZER\BIONTECH,guillain_barre,52.0,45994,0.1131
2022,1,JANSSEN,guillain_barre,14.0,3206,0.4367
2022,1,MODERNA,guillain_barre,19.0,24886,0.0763
2022,1,PFIZER\BIONTECH,guillain_barre,33.0,34040,0.0969
2022,2,JANSSEN,guillain_barre,8.0,1395,0.5735
2022,2,MODERNA,guillain_barre,12.0,18560,0.0647
2022,2,PFIZER\BIONTECH,guillain_barre,17.0,18299,0.0929
2022,3,JANSSEN,guillain_barre,5.0,725,0.6897
2022,3,MODERNA,guillain_barre,7.0,12345,0.0567
2022,3,PFIZER\BIONTECH,guillain_barre,10.0,14146,0.0707
2022,4,MODERNA,guillain_barre,6.0,11549,0.052
2022,4,PFIZER\BIONTECH,guillain_barre,10.0,15348,0.0652
2023,1,MODERNA,guillain_barre,3.0,7887,0.038
2023,1,PFIZER\BIONTECH,guillain_barre,7.0,11689,0.0599
2023,2,MODERNA,guillain_barre,5.0,6078,0.0823
2023,2,PFIZER\BIONTECH,guillain_barre,11.0,8729,0.126
2023,3,MODERNA,guillain_barre,3.0,5248,0.0572
2023,3,PFIZER\BIONTECH,guillain_barre,8.0,4688,0.1706
2023,4,MODERNA,guillain_barre,3.0,6310,0.0475
2023,4,PFIZER\BIONTECH,guillain_barre,7.0,3394,0.2062
2024,1,MODERNA,guillain_barre,6.0,1570,0.3822
2024,1,PFIZER\BIONTECH,guillain_barre,5.0,2189,0.2284
2024,2,MODERNA,guillain_barre,0.0,1023,0.0
2024,2,PFIZER\BIONTECH,guillain_barre,1.0,1362,0.0734
2024,3,MODERNA,guillain_barre,0.0,958,0.0
