SOURCE_SCOPE,VAX_MANU,lot,vax_rows,reports,death_reports,hospital_reports,life_threat_reports,disability_reports,serious_reports,death_pct,hospital_pct,serious_pct,mean_age,median_age,states_reported,first_received,last_received
NONDOMESTIC,PFIZER\BIONTECH,FF0900,918,911,15,379,54,149,529,1.647,41.603,58.068,42.43,42.0,1,01/04/2022,12/30/2024
NONDOMESTIC,PFIZER\BIONTECH,FA5831,911,910,29,261,56,60,366,3.187,28.681,40.22,51.62,52.0,1,01/04/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EK1768,918,910,14,55,28,146,206,1.538,6.044,22.637,48.54,45.0,1,01/03/2023,12/31/2021
DOMESTIC,PFIZER\BIONTECH,EL9263,1018,909,33,162,39,33,205,3.63,17.822,22.552,61.62,66.0,41,01/01/2022,12/30/2021
DOMESTIC,MODERNA,070H21A,907,890,3,56,13,10,70,0.337,6.292,7.865,56.67,61.0,38,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FH9951,885,885,18,151,28,33,198,2.034,17.062,22.373,47.0,45.5,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FF0688,880,880,5,147,36,69,235,0.568,16.705,26.705,41.58,43.0,1,01/04/2023,12/31/2021
NONDOMESTIC,MODERNA,3002339,875,875,3,22,7,9,34,0.343,2.514,3.886,42.0,42.5,1,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE8235,869,866,7,134,25,128,258,0.808,15.473,29.792,38.63,38.0,1,01/04/2023,12/31/2021
NONDOMESTIC,MODERNA,3002621,869,866,0,39,6,51,85,0.0,4.503,9.815,32.2,29.0,1,01/03/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,GL0446,891,864,9,105,7,9,112,1.042,12.153,12.963,52.88,56.0,51,01/01/2023,12/31/2022
DOMESTIC,MODERNA,059H21A,887,864,7,53,7,8,65,0.81,6.134,7.523,50.65,51.0,48,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FD7218,915,861,16,129,12,40,170,1.858,14.983,19.744,42.52,42.0,41,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EX7389,858,858,33,243,58,69,352,3.846,28.322,41.026,57.98,60.0,1,01/05/2022,12/30/2022
NONDOMESTIC,MODERNA,3004732,864,857,1,49,13,72,121,0.117,5.718,14.119,53.06,55.0,1,01/03/2022,12/31/2021
DOMESTIC,MODERNA,008B21A,891,856,39,99,12,17,133,4.556,11.565,15.537,50.85,52.0,43,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EY2172,853,853,19,218,42,135,363,2.227,25.557,42.556,49.69,51.0,1,01/02/2024,12/31/2021
DOMESTIC,MODERNA,012F21A,872,853,12,55,6,10,69,1.407,6.448,8.089,61.52,67.0,44,01/02/2022,12/31/2021
DOMESTIC,MODERNA,045B21A,861,851,18,90,17,20,115,2.115,10.576,13.514,46.89,48.0,43,01/03/2022,12/29/2021
NONDOMESTIC,MODERNA,3002545,845,845,1,43,9,9,59,0.118,5.089,6.982,42.7,43.5,1,01/03/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FK6304,844,844,14,192,48,109,315,1.659,22.749,37.322,44.85,44.5,1,01/02/2024,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FA4632,843,842,10,127,42,202,331,1.188,15.083,39.311,48.06,48.0,1,01/07/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,32030BD,894,841,16,121,10,19,137,1.902,14.388,16.29,51.38,53.0,48,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FH8469,869,839,16,149,50,256,404,1.907,17.759,48.153,50.65,53.0,1,01/03/2024,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FL3198,902,838,8,133,16,34,158,0.955,15.871,18.854,43.34,44.0,46,01/01/2022,12/31/2021
DOMESTIC,JANSSEN,1802068,964,835,47,299,36,30,341,5.629,35.808,40.838,57.55,58.0,14,01/03/2022,12/31/2021
DOMESTIC,MODERNA,041C21A,879,830,17,125,15,25,149,2.048,15.06,17.952,47.95,48.0,44,01/03/2022,12/30/2021
DOMESTIC,MODERNA,058A222A,1124,828,7,28,3,1,34,0.845,3.382,4.106,57.47,59.0,36,01/02/2023,12/30/2022
NONDOMESTIC,PFIZER\BIONTECH,FC5435,826,823,13,186,37,52,261,1.58,22.6,31.713,43.25,44.0,1,01/05/2022,12/31/2021
DOMESTIC,MODERNA,027C21A,862,822,15,128,15,18,154,1.825,15.572,18.735,47.48,49.0,44,01/03/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,EL8723,826,822,44,211,29,84,329,5.353,25.669,40.024,53.75,52.0,1,01/04/2022,12/28/2022
DOMESTIC,MODERNA,027H21B,839,821,24,68,6,25,109,2.923,8.283,13.276,49.61,49.0,47,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,ER7934,823,821,2,91,31,91,180,0.244,11.084,21.924,49.45,49.0,1,01/05/2022,12/31/2021
DOMESTIC,MODERNA,029K20A,832,819,19,92,17,12,115,2.32,11.233,14.042,63.5,69.0,22,01/05/2021,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,EN1185,825,817,7,64,19,97,160,0.857,7.834,19.584,54.55,54.0,1,01/05/2022,12/31/2024
NONDOMESTIC,JANSSEN,XE423,820,814,3,51,10,8,64,0.369,6.265,7.862,39.03,39.0,1,01/03/2022,12/31/2021
DOMESTIC,MODERNA,062E21A,812,805,17,73,7,13,92,2.112,9.068,11.429,51.94,53.0,45,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,ET3045,802,802,24,369,41,20,413,2.993,46.01,51.496,53.69,53.0,1,01/04/2023,12/31/2021
DOMESTIC,MODERNA,011F21A,829,801,25,74,6,16,104,3.121,9.238,12.984,51.72,52.0,49,01/01/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,EN3924,805,801,10,58,28,93,155,1.248,7.241,19.351,58.18,65.5,1,01/10/2023,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FJ1611,868,798,12,128,22,22,153,1.504,16.04,19.173,44.62,46.0,45,01/01/2022,12/31/2022
DOMESTIC,MODERNA,022C21A,849,795,20,94,12,23,125,2.516,11.824,15.723,45.96,47.0,40,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FP4554,840,793,6,101,10,9,110,0.757,12.736,13.871,54.1,61.0,49,01/05/2023,12/30/2022
NONDOMESTIC,MODERNA,3002188,793,793,4,58,10,31,90,0.504,7.314,11.349,46.54,47.0,1,01/03/2022,12/30/2021
NONDOMESTIC,MODERNA,3004737,802,792,2,45,18,83,128,0.253,5.682,16.162,52.61,55.0,1,01/03/2022,12/31/2021
DOMESTIC,MODERNA,034F21A,816,790,26,179,8,14,208,3.291,22.658,26.329,56.56,58.0,44,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FK9706,787,784,5,76,28,130,193,0.638,9.694,24.617,40.85,40.0,1,01/04/2022,12/31/2021
DOMESTIC,MODERNA,051F21A,852,781,16,179,13,14,199,2.049,22.919,25.48,59.64,63.0,46,01/01/2022,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,FC9001,780,780,1,50,16,71,114,0.128,6.41,14.615,31.36,29.0,1,01/05/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FF4213,781,779,12,172,29,58,250,1.54,22.08,32.092,38.21,37.0,1,01/04/2022,12/30/2022
DOMESTIC,MODERNA,042B21A,813,779,38,92,16,29,133,4.878,11.81,17.073,47.24,47.0,49,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE9174,788,775,18,281,29,193,476,2.323,36.258,61.419,41.29,40.0,1,01/03/2023,12/31/2024
NONDOMESTIC,MODERNA,3001659,779,775,5,53,12,60,118,0.645,6.839,15.226,45.45,46.0,1,01/02/2023,12/22/2021
DOMESTIC,MODERNA,013F21A,780,768,13,140,10,16,160,1.693,18.229,20.833,55.91,59.0,50,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FR2583,787,766,0,11,3,2,13,0.0,1.436,1.697,53.38,58.0,41,01/02/2023,12/29/2022
DOMESTIC,MODERNA,023C21A,801,761,7,85,11,23,106,0.92,11.17,13.929,44.1,44.0,42,01/02/2022,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,FE2707,761,760,14,200,36,58,287,1.842,26.316,37.763,40.82,40.5,1,01/03/2023,12/31/2021
DOMESTIC,MODERNA,014F21A,784,759,10,94,18,18,113,1.318,12.385,14.888,54.04,55.0,46,01/01/2022,12/30/2023
DOMESTIC,MODERNA,032F21A,773,758,18,57,7,11,82,2.375,7.52,10.818,55.48,58.0,48,01/02/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EY2173,757,757,45,188,15,16,242,5.945,24.835,31.968,52.26,47.5,1,01/09/2023,12/28/2022
NONDOMESTIC,PFIZER\BIONTECH,FE7010,753,753,8,130,36,38,185,1.062,17.264,24.568,39.6,41.0,1,01/05/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FD0810,763,748,7,52,3,6,63,0.936,6.952,8.422,60.75,64.0,30,01/01/2022,12/31/2021
DOMESTIC,MODERNA,025C21A,777,745,18,74,20,19,102,2.416,9.933,13.691,45.33,44.5,42,01/03/2022,12/29/2021
DOMESTIC,MODERNA,033C21A,776,745,15,86,10,16,113,2.013,11.544,15.168,49.06,49.0,43,01/03/2022,12/31/2021
DOMESTIC,MODERNA,AS7147B,751,745,1,20,0,0,21,0.134,2.685,2.819,54.63,56.0,24,01/02/2023,12/30/2022
DOMESTIC,PFIZER\BIONTECH,30135BA,810,744,24,115,14,28,143,3.226,15.457,19.22,50.33,51.0,49,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FC1526,749,744,16,203,32,101,332,2.151,27.285,44.624,45.23,46.0,1,01/02/2023,12/31/2021
DOMESTIC,JANSSEN,1822809,780,738,12,71,30,28,106,1.626,9.621,14.363,43.29,42.0,51,01/02/2022,12/31/2021
DOMESTIC,MODERNA,040C21A,756,737,8,64,11,7,74,1.085,8.684,10.041,49.02,48.0,48,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FF8222,774,737,7,85,39,116,188,0.95,11.533,25.509,51.82,51.0,1,01/03/2023,12/31/2021
DOMESTIC,MODERNA,036C21A,782,737,11,115,18,17,138,1.493,15.604,18.725,46.43,46.0,46,01/01/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE7053,757,735,16,210,50,230,436,2.177,28.571,59.32,39.1,36.5,1,01/02/2024,12/31/2021
DOMESTIC,MODERNA,052E21A,763,735,21,53,17,18,83,2.857,7.211,11.293,47.72,47.0,47,01/09/2023,12/30/2022
NONDOMESTIC,PFIZER\BIONTECH,FC3098,731,730,8,150,45,61,233,1.096,20.548,31.918,43.6,44.0,1,01/03/2023,12/31/2021
DOMESTIC,JANSSEN,1802070,800,730,48,141,30,31,191,6.575,19.315,26.164,52.98,53.0,42,01/01/2022,12/30/2021
DOMESTIC,JANSSEN,1822811,802,729,15,99,34,35,139,2.058,13.58,19.067,46.74,45.0,47,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FK9413,737,728,1,50,25,83,123,0.137,6.868,16.896,52.31,55.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE2625,732,728,7,131,36,258,409,0.962,17.995,56.181,38.74,38.0,1,01/04/2022,12/31/2021
DOMESTIC,MODERNA,014C21A,750,726,10,70,9,22,91,1.377,9.642,12.534,44.46,44.0,40,01/02/2022,12/31/2021
DOMESTIC,MODERNA,017F21A,739,722,23,127,9,21,155,3.186,17.59,21.468,57.36,60.0,48,01/03/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FE8405,721,716,11,256,41,26,290,1.536,35.754,40.503,44.99,46.0,1,01/05/2022,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,FG3739,719,716,13,165,31,69,252,1.816,23.045,35.196,45.66,45.0,1,01/03/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FG6273,714,714,11,180,40,57,267,1.541,25.21,37.395,38.14,37.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FH4751,713,712,0,52,27,83,129,0.0,7.303,18.118,51.96,55.5,1,01/05/2022,12/31/2021
NONDOMESTIC,MODERNA,3002916,710,710,1,51,12,82,132,0.141,7.183,18.592,41.56,42.0,1,01/02/2023,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FD5613,713,710,2,43,19,60,98,0.282,6.056,13.803,31.42,32.0,2,01/04/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FF2382,713,710,26,148,38,123,298,3.662,20.845,41.972,47.04,47.0,1,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE4728,709,709,4,86,36,127,228,0.564,12.13,32.158,36.46,37.0,1,01/02/2024,12/31/2021
NONDOMESTIC,JANSSEN,XD955,714,708,6,55,11,16,74,0.847,7.768,10.452,47.43,51.0,1,01/03/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,301458A,727,701,8,59,7,18,75,1.141,8.417,10.699,52.62,53.0,49,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FJ4991,729,699,4,45,8,9,55,0.572,6.438,7.868,59.6,65.0,44,01/03/2023,12/31/2022
DOMESTIC,MODERNA,037F21A,717,697,14,71,8,18,96,2.009,10.187,13.773,53.83,55.0,43,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EE8492,697,695,2,40,12,134,171,0.288,5.755,24.604,41.91,42.0,1,01/06/2022,12/31/2021
DOMESTIC,MODERNA,AS7140C,705,691,1,25,2,4,29,0.145,3.618,4.197,60.63,63.0,39,01/03/2025,12/30/2022
DOMESTIC,MODERNA,058H21A,712,690,26,165,10,20,193,3.768,23.913,27.971,55.1,57.0,51,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EM6950,693,689,31,108,14,34,164,4.499,15.675,23.803,55.04,51.0,1,01/02/2024,12/30/2021
DOMESTIC,MODERNA,038C21A,694,680,19,54,8,18,81,2.794,7.941,11.912,47.5,47.0,48,01/02/2022,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,FC5089,681,676,7,131,42,46,209,1.036,19.379,30.917,40.38,37.0,1,01/04/2023,12/31/2021
DOMESTIC,MODERNA,032H21A,714,673,15,155,10,21,181,2.229,23.031,26.895,48.79,50.0,46,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE2296,673,672,8,167,26,68,249,1.19,24.851,37.054,44.04,44.0,1,01/04/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FL1939,669,669,2,45,20,90,130,0.299,6.726,19.432,50.99,52.0,1,01/05/2022,12/31/2022
DOMESTIC,JANSSEN,213D21A,712,667,24,104,17,13,128,3.598,15.592,19.19,49.78,51.0,50,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FC1440,669,665,9,311,41,27,332,1.353,46.767,49.925,43.65,44.0,1,01/02/2024,12/31/2021
DOMESTIC,MODERNA,034C21A,678,660,4,57,5,10,67,0.606,8.636,10.152,50.4,51.0,37,01/05/2022,12/29/2021
DOMESTIC,MODERNA,084J21A,749,660,7,44,5,8,54,1.061,6.667,8.182,56.77,62.0,44,01/04/2023,12/31/2022
DOMESTIC,MODERNA,050C21A,675,655,7,79,16,23,97,1.069,12.061,14.809,44.06,42.0,38,01/03/2022,12/29/2021
DOMESTIC,MODERNA,039K202A,699,654,6,19,2,8,30,0.917,2.905,4.587,46.46,43.0,19,01/01/2021,12/31/2020
DOMESTIC,MODERNA,045J21A,675,652,19,128,5,16,151,2.914,19.632,23.16,53.65,56.0,41,01/02/2022,12/31/2021
DOMESTIC,MODERNA,067F21A,662,648,6,83,5,17,99,0.926,12.809,15.278,56.7,60.0,45,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE2083,656,646,8,192,26,202,393,1.238,29.721,60.836,41.09,41.0,1,01/02/2025,12/31/2022
NONDOMESTIC,PFIZER\BIONTECH,FE1510,645,645,3,44,8,60,95,0.465,6.822,14.729,32.89,34.0,1,01/05/2022,12/31/2021
DOMESTIC,MODERNA,033H21A,658,642,7,48,8,4,61,1.09,7.477,9.502,51.14,52.0,47,01/01/2022,12/31/2021
DOMESTIC,MODERNA,068H21A,729,641,8,73,9,11,88,1.248,11.388,13.729,48.13,50.0,43,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EE8493,644,640,2,43,16,128,179,0.313,6.719,27.969,42.14,42.0,1,01/11/2021,12/27/2021
DOMESTIC,MODERNA,001M21A,653,639,9,62,3,5,69,1.408,9.703,10.798,65.9,69.0,50,01/03/2023,12/29/2022
NONDOMESTIC,PFIZER\BIONTECH,EK4244,645,637,3,43,21,76,125,0.471,6.75,19.623,50.47,51.0,1,01/06/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FL3209,687,637,9,76,9,17,96,1.413,11.931,15.071,39.88,38.0,45,01/02/2022,12/31/2021
DOMESTIC,MODERNA,033B21A,675,637,16,79,10,20,106,2.512,12.402,16.641,45.76,46.0,45,01/04/2023,12/30/2023
DOMESTIC,MODERNA,AS7146B,648,626,3,15,2,2,18,0.479,2.396,2.875,60.19,63.0,39,01/03/2023,12/30/2022
NONDOMESTIC,MODERNA,3003608,629,623,0,23,4,48,67,0.0,3.692,10.754,35.94,35.0,1,01/03/2022,12/29/2021
DOMESTIC,PFIZER\BIONTECH,FJ4989,673,622,8,73,10,12,85,1.286,11.736,13.666,59.79,62.0,51,01/03/2023,12/24/2022
NONDOMESTIC,MODERNA,3001943,619,619,1,27,15,34,66,0.162,4.362,10.662,49.72,51.0,1,01/03/2022,12/23/2021
NONDOMESTIC,PFIZER\BIONTECH,EK4243,622,617,15,49,15,79,135,2.431,7.942,21.88,56.92,57.0,1,01/08/2022,12/30/2021
DOMESTIC,PFIZER\BIONTECH,FP7138,648,617,5,25,7,3,34,0.81,4.052,5.511,50.91,55.0,49,01/03/2023,12/28/2022
DOMESTIC,PFIZER\BIONTECH,FN2908,638,614,15,98,8,7,110,2.443,15.961,17.915,51.5,57.0,52,01/03/2023,12/31/2022
NONDOMESTIC,PFIZER\BIONTECH,FG4493,620,614,11,176,26,45,237,1.792,28.664,38.599,40.49,40.0,1,01/05/2022,12/31/2021
DOMESTIC,MODERNA,024C21A,637,614,23,74,16,16,98,3.746,12.052,15.961,44.89,45.0,42,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE1248,610,610,8,146,27,30,181,1.311,23.934,29.672,42.22,43.0,1,01/04/2023,12/30/2022
NONDOMESTIC,PFIZER\BIONTECH,FD0785,609,609,13,127,38,32,182,2.135,20.854,29.885,49.36,49.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FG7911,609,609,50,162,30,21,221,8.21,26.601,36.289,51.44,49.0,1,01/03/2023,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,FE8087,603,601,4,52,26,63,109,0.666,8.652,18.136,31.2,29.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FM3802,600,600,0,55,20,91,137,0.0,9.167,22.833,46.29,47.0,1,01/03/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FG7387,599,599,27,159,32,62,261,4.508,26.544,43.573,47.41,44.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE7011,605,598,7,279,28,17,293,1.171,46.656,48.997,43.13,42.0,1,01/05/2022,12/31/2024
DOMESTIC,MODERNA,002M21A,615,592,5,94,10,8,101,0.845,15.878,17.061,65.43,68.0,50,01/05/2023,12/30/2022
