lot_number,VAX_MANU,total_doses_shipped,reports,serious_reports,deaths,reports_per_million,serious_per_million,deaths_per_million,expected_serious,serious_oe_ratio,expected_deaths,death_oe_ratio,serious_oe_ci_low,serious_oe_ci_high
EW0180,PFIZER\BIONTECH,13627256.0,1742,261.0,18.0,127.83,19.15,1.32,397.57,0.656,59.21,0.304,0.577,0.736
FA7485,PFIZER\BIONTECH,12863195.0,1536,243.0,31.0,119.41,18.89,2.41,375.28,0.648,55.89,0.555,0.566,0.729
EW0217,PFIZER\BIONTECH,13547915.0,1975,252.0,44.0,145.78,18.6,3.25,395.26,0.638,58.87,0.747,0.559,0.716
EW0202,PFIZER\BIONTECH,3052073.0,387,56.0,7.0,126.8,18.35,2.29,89.04,0.629,13.26,0.528,0.464,0.794
EW0177,PFIZER\BIONTECH,15149147.0,1787,277.0,23.0,117.96,18.28,1.52,441.97,0.627,65.83,0.349,0.553,0.701
FF2589,PFIZER\BIONTECH,13204580.0,1605,236.0,34.0,121.55,17.87,2.57,385.24,0.613,57.38,0.593,0.534,0.691
FA6780,PFIZER\BIONTECH,12941101.0,1712,229.0,26.0,132.29,17.7,2.01,377.55,0.607,56.23,0.462,0.528,0.685
30125BA,PFIZER\BIONTECH,2125929.0,120,37.0,3.0,56.45,17.4,1.41,62.02,0.597,9.24,0.325,0.404,0.789
EW0196,PFIZER\BIONTECH,13046365.0,1687,225.0,23.0,129.31,17.25,1.76,380.62,0.591,56.69,0.406,0.514,0.668
FH8030,PFIZER\BIONTECH,13136843.0,1068,224.0,25.0,81.3,17.05,1.9,383.26,0.584,57.08,0.438,0.508,0.661
30155BA,PFIZER\BIONTECH,12803447.0,1233,210.0,19.0,96.3,16.4,1.48,373.54,0.562,55.63,0.342,0.486,0.638
EW0173,PFIZER\BIONTECH,17866729.0,2300,292.0,21.0,128.73,16.34,1.18,521.26,0.56,77.63,0.271,0.496,0.624
EW0181,PFIZER\BIONTECH,12911508.0,1708,211.0,15.0,132.29,16.34,1.16,376.69,0.56,56.1,0.267,0.485,0.636
EW0187,PFIZER\BIONTECH,15103443.0,1779,246.0,24.0,117.79,16.29,1.59,440.64,0.558,65.63,0.366,0.489,0.628
FM9992,PFIZER\BIONTECH,12051648.0,1070,194.0,23.0,88.78,16.1,1.91,351.6,0.552,52.37,0.439,0.474,0.629
FD0809,PFIZER\BIONTECH,13618556.0,1627,219.0,26.0,119.47,16.08,1.91,397.32,0.551,59.17,0.439,0.478,0.624
EW0185,PFIZER\BIONTECH,18324241.0,1919,291.0,18.0,104.72,15.88,0.98,534.6,0.544,79.62,0.226,0.482,0.607
FP7139,PFIZER\BIONTECH,3830364.0,349,59.0,2.0,91.11,15.4,0.52,111.75,0.528,16.64,0.12,0.393,0.663
FK9894,PFIZER\BIONTECH,15620848.0,1549,238.0,29.0,99.16,15.24,1.86,455.73,0.522,67.87,0.427,0.456,0.589
FJ1620,PFIZER\BIONTECH,14250720.0,1082,217.0,14.0,75.93,15.23,0.98,415.76,0.522,61.92,0.226,0.452,0.591
FH8027,PFIZER\BIONTECH,13321071.0,1123,200.0,25.0,84.3,15.01,1.88,388.64,0.515,57.88,0.432,0.443,0.586
FP7150,PFIZER\BIONTECH,3316414.0,506,49.0,9.0,152.57,14.77,2.71,96.76,0.506,14.41,0.625,0.365,0.648
FD7218,PFIZER\BIONTECH,11640247.0,862,170.0,16.0,74.05,14.6,1.37,339.6,0.501,50.58,0.316,0.425,0.576
FJ8757,PFIZER\BIONTECH,14443254.0,1060,209.0,15.0,73.39,14.47,1.04,421.38,0.496,62.76,0.239,0.429,0.563
FP4554,PFIZER\BIONTECH,7649236.0,793,110.0,6.0,103.67,14.38,0.78,223.16,0.493,33.24,0.181,0.401,0.585
33026BD,PFIZER\BIONTECH,3717202.0,158,53.0,2.0,42.51,14.26,0.54,108.45,0.489,16.15,0.124,0.357,0.62
FR2583,PFIZER\BIONTECH,935062.0,766,13.0,0.0,819.2,13.9,0.0,27.28,0.477,4.06,0.0,0.217,0.736
EW0198,PFIZER\BIONTECH,10562063.0,1385,146.0,9.0,131.13,13.82,0.85,308.14,0.474,45.89,0.196,0.397,0.551
30135BA,PFIZER\BIONTECH,10528166.0,746,143.0,24.0,70.86,13.58,2.28,307.16,0.466,45.75,0.525,0.389,0.542
30145BA,PFIZER\BIONTECH,11219528.0,1179,149.0,18.0,105.08,13.28,1.6,327.33,0.455,48.75,0.369,0.382,0.528
FJ6369,PFIZER\BIONTECH,16412434.0,1436,214.0,20.0,87.49,13.04,1.22,478.83,0.447,71.31,0.28,0.387,0.507
FM0173,PFIZER\BIONTECH,3761651.0,308,49.0,3.0,81.88,13.03,0.8,109.74,0.446,16.34,0.184,0.321,0.572
FR2587,PFIZER\BIONTECH,462840.0,429,6.0,0.0,926.89,12.96,0.0,13.5,0.444,2.01,0.0,0.089,0.8
FE3594,PFIZER\BIONTECH,15132534.0,1150,192.0,7.0,76.0,12.69,0.46,441.49,0.435,65.75,0.106,0.373,0.496
FJ1611,PFIZER\BIONTECH,12154454.0,803,154.0,12.0,66.07,12.67,0.99,354.6,0.434,52.81,0.227,0.366,0.503
FK9729,PFIZER\BIONTECH,16364857.0,1404,205.0,19.0,85.79,12.53,1.16,477.44,0.429,71.11,0.267,0.371,0.488
FW1331,PFIZER\BIONTECH,244069.0,128,3.0,1.0,524.44,12.29,4.1,7.12,0.421,1.06,0.943,0.0,0.898
FL3198,PFIZER\BIONTECH,13076904.0,840,159.0,8.0,64.24,12.16,0.61,381.51,0.417,56.82,0.141,0.352,0.482
FJ8762,PFIZER\BIONTECH,13225741.0,997,151.0,9.0,75.38,11.42,0.68,385.86,0.391,57.47,0.157,0.329,0.454
EY0584,PFIZER\BIONTECH,1873612.0,394,21.0,2.0,210.29,11.21,1.07,54.66,0.384,8.14,0.246,0.22,0.549
32030BD,PFIZER\BIONTECH,12522432.0,842,138.0,16.0,67.24,11.02,1.28,365.34,0.378,54.41,0.294,0.315,0.441
30130BA,PFIZER\BIONTECH,9552305.0,549,104.0,7.0,57.47,10.89,0.73,278.69,0.373,41.51,0.169,0.301,0.445
